"File","PostersMoved","Status","Detail","Timestamp"
"C:\Users\admin\Desktop\nigelthomas-portfolio\10-biggest-hotels-in-the-world.html","0","ERROR","The -ireplace operator allows only two elements to follow it, not 3.","2026-08-31T22:19:44"
"C:\Users\admin\Desktop\nigelthomas-portfolio\100-hospitality-interview-questions.html","0","NoChangeNeeded","","2026-08-31T22:19:45"
"C:\Users\admin\Desktop\nigelthomas-portfolio\14-major-food-allergens.html","0","ERROR","The -ireplace operator allows only two elements to follow it, not 3.","2026-08-31T22:19:45"
"C:\Users\admin\Desktop\nigelthomas-portfolio\15-money-leaks-in-a-restaurant.html","0","NoChangeNeeded","","2026-08-31T22:19:45"
"C:\Users\admin\Desktop\nigelthomas-portfolio\6-pizza-recipes-hotel-restaurant-menu.html","0","NoChangeNeeded","","2026-08-31T22:19:45"
"C:\Users\admin\Desktop\nigelthomas-portfolio\7-types-of-coffee-and-how-theyre-made.html","0","NoChangeNeeded","","2026-08-31T22:19:45"
"C:\Users\admin\Desktop\nigelthomas-portfolio\about.html","0","ERROR","The -ireplace operator allows only two elements to follow it, not 3.","2026-08-31T22:19:45"
"C:\Users\admin\Desktop\nigelthomas-portfolio\accounting-dashboard.html","0","NoChangeNeeded","","2026-08-31T22:19:45"
"C:\Users\admin\Desktop\nigelthomas-portfolio\accounting-v3.html","0","NoChangeNeeded","","2026-08-31T22:19:45"
"C:\Users\admin\Desktop\nigelthomas-portfolio\ai-decision-matrix.html","0","NoChangeNeeded","","2026-08-31T22:19:45"
"C:\Users\admin\Desktop\nigelthomas-portfolio\ai-readiness-self-assessment-hospitality.html","0","NoChangeNeeded","","2026-08-31T22:19:45"
"C:\Users\admin\Desktop\nigelthomas-portfolio\ai-shaping-future-jobs-2026.html","0","NoChangeNeeded","","2026-08-31T22:19:45"
"C:\Users\admin\Desktop\nigelthomas-portfolio\ai-tool-integration-matrix-hospitality.html","0","NoChangeNeeded","","2026-08-31T22:19:45"
"C:\Users\admin\Desktop\nigelthomas-portfolio\area-manager-restaurant-visit-diagnostic-lenses.html","0","NoChangeNeeded","","2026-08-31T22:19:45"
"C:\Users\admin\Desktop\nigelthomas-portfolio\area-manager-vs-cluster-manager.html","0","NoChangeNeeded","","2026-08-31T22:19:45"
"C:\Users\admin\Desktop\nigelthomas-portfolio\ats-friendly-hospitality-cv-guide.html","0","NoChangeNeeded","","2026-08-31T22:19:45"
"C:\Users\admin\Desktop\nigelthomas-portfolio\beers.html","0","NoChangeNeeded","","2026-08-31T22:19:45"
"C:\Users\admin\Desktop\nigelthomas-portfolio\beverage.html","0","NoChangeNeeded","","2026-08-31T22:19:45"
"C:\Users\admin\Desktop\nigelthomas-portfolio\blog-card-snippet.html","0","NoChangeNeeded","","2026-08-31T22:19:45"
"C:\Users\admin\Desktop\nigelthomas-portfolio\blog.html","0","ERROR","The -ireplace operator allows only two elements to follow it, not 3.","2026-08-31T22:19:45"
"C:\Users\admin\Desktop\nigelthomas-portfolio\buffet-food-temperature-guide.html","0","NoChangeNeeded","","2026-08-31T22:19:45"
"C:\Users\admin\Desktop\nigelthomas-portfolio\building-a-career-in-hospitality-guide.html","0","NoChangeNeeded","","2026-08-31T22:19:45"
"C:\Users\admin\Desktop\nigelthomas-portfolio\career-general.html","0","NoChangeNeeded","","2026-08-31T22:19:45"
"C:\Users\admin\Desktop\nigelthomas-portfolio\certifications.html","0","NoChangeNeeded","","2026-08-31T22:19:45"
"C:\Users\admin\Desktop\nigelthomas-portfolio\chef-de-partie-complete-career-guide.html","0","NoChangeNeeded","","2026-08-31T22:19:45"
"C:\Users\admin\Desktop\nigelthomas-portfolio\classic-cocktails-guide.html","0","ERROR","The -ireplace operator allows only two elements to follow it, not 3.","2026-08-31T22:19:45"
"C:\Users\admin\Desktop\nigelthomas-portfolio\cloud-kitchen-catering-operations-guide.html","0","NoChangeNeeded","","2026-08-31T22:19:45"
"C:\Users\admin\Desktop\nigelthomas-portfolio\cocktail-bar-service-guide.html","0","NoChangeNeeded","","2026-08-31T22:19:45"
"C:\Users\admin\Desktop\nigelthomas-portfolio\coffee-shop-vocabulary.html","0","ERROR","The -ireplace operator allows only two elements to follow it, not 3.","2026-08-31T22:19:45"
"C:\Users\admin\Desktop\nigelthomas-portfolio\coffee-types-poster.html","0","ERROR","The -ireplace operator allows only two elements to follow it, not 3.","2026-08-31T22:19:46"
"C:\Users\admin\Desktop\nigelthomas-portfolio\colour-coding-knives-cutting-boards.html","0","NoChangeNeeded","","2026-08-31T22:19:46"
"C:\Users\admin\Desktop\nigelthomas-portfolio\complete-guide-to-hotel-and-restaurant-abbreviations-final.html","0","NoChangeNeeded","","2026-08-31T22:19:46"
"C:\Users\admin\Desktop\nigelthomas-portfolio\complete-guide-to-hotel-and-restaurant-abbreviations.html","0","NoChangeNeeded","","2026-08-31T22:19:46"
"C:\Users\admin\Desktop\nigelthomas-portfolio\condiments-vs-sauces-fb-guide.html","0","NoChangeNeeded","","2026-08-31T22:19:46"
"C:\Users\admin\Desktop\nigelthomas-portfolio\condiments-vs-sauces-poster.html","0","ERROR","The -ireplace operator allows only two elements to follow it, not 3.","2026-08-31T22:19:46"
"C:\Users\admin\Desktop\nigelthomas-portfolio\contact.html","0","NoChangeNeeded","","2026-08-31T22:19:46"
"C:\Users\admin\Desktop\nigelthomas-portfolio\cost-control-protect-profit.html","0","ERROR","The -ireplace operator allows only two elements to follow it, not 3.","2026-08-31T22:19:46"
"C:\Users\admin\Desktop\nigelthomas-portfolio\cruise-ship-crew-rotations-guide.html","0","NoChangeNeeded","","2026-08-31T22:19:46"
"C:\Users\admin\Desktop\nigelthomas-portfolio\direct-vs-ota-booking-guest-occasion.html","0","NoChangeNeeded","","2026-08-31T22:19:46"
"C:\Users\admin\Desktop\nigelthomas-portfolio\disclaimer.html","0","NoChangeNeeded","","2026-08-31T22:19:46"
"C:\Users\admin\Desktop\nigelthomas-portfolio\equal-opportunity-employer-india-usa-europe.html","0","NoChangeNeeded","","2026-08-31T22:19:46"
"C:\Users\admin\Desktop\nigelthomas-portfolio\executive-career-dashboard.html","0","NoChangeNeeded","","2026-08-31T22:19:46"
"C:\Users\admin\Desktop\nigelthomas-portfolio\executive-chef-duties-and-responsibilities.html","0","NoChangeNeeded","","2026-08-31T22:19:46"
"C:\Users\admin\Desktop\nigelthomas-portfolio\executive-chef-job-description-requirements.html","0","NoChangeNeeded","","2026-08-31T22:19:46"
"C:\Users\admin\Desktop\nigelthomas-portfolio\f&b-service-interview-q&a.html","0","NoChangeNeeded","","2026-08-31T22:19:46"
"C:\Users\admin\Desktop\nigelthomas-portfolio\fb-cost-control-blueprint.html","0","NoChangeNeeded","","2026-08-31T22:19:46"
"C:\Users\admin\Desktop\nigelthomas-portfolio\fifo-vs-fefo-poster.html","0","ERROR","The -ireplace operator allows only two elements to follow it, not 3.","2026-08-31T22:19:46"
"C:\Users\admin\Desktop\nigelthomas-portfolio\fifo-vs-fefo-stock-rotation-guide.html","0","ERROR","The -ireplace operator allows only two elements to follow it, not 3.","2026-08-31T22:19:46"
"C:\Users\admin\Desktop\nigelthomas-portfolio\financial-kpis-poster.html","0","ERROR","The -ireplace operator allows only two elements to follow it, not 3.","2026-08-31T22:19:46"
"C:\Users\admin\Desktop\nigelthomas-portfolio\foh-boh-equipment-guide.html","0","NoChangeNeeded","","2026-08-31T22:19:46"
